Purchase ID,Supplier ID,Order Date,Total Cost,Status,Payment Terms,Delivery Time (days)
PO85585,SUP7849,2007-10-15,67847.0,Pending,Net 30,26
PO71889,SUP6593,2015-03-16,38014.79,Cancelled,Prepaid,29
PO37365,SUP3650,2022-10-02,84937.09,Received,Prepaid,10
PO18837,SUP1888,2003-05-02,92361.86,Cancelled,Net 60,27
PO88137,SUP4738,2006-11-28,95824.16,Received,Net 30,18
PO10761,SUP4738,2024-05-24,77028.81,Pending,Net 30,23
PO14686,SUP9332,2009-05-22,90151.71,Pending,Prepaid,13
PO90742,SUP8191,2004-12-11,18582.77,Cancelled,Prepaid,7
PO85059,SUP7849,2008-01-13,13560.26,Pending,Prepaid,23
PO23553,SUP2122,2010-02-28,75600.31,Cancelled,Prepaid,21
PO19455,SUP3110,2013-04-09,39036.77,Cancelled,Prepaid,14
PO90212,SUP4738,2012-06-27,67868.29,Received,Prepaid,10
PO43019,SUP5822,2023-02-11,52453.37,Cancelled,Prepaid,19
PO27619,SUP8497,2006-07-27,63449.87,Received,Net 60,7
PO94950,SUP4001,2004-12-26,71234.35,Pending,Net 30,18
PO39736,SUP7965,2025-11-21,21728.22,Pending,Net 60,23
PO95192,SUP5370,2015-03-05,62646.01,Cancelled,Net 30,26
PO96852,SUP7304,2010-09-02,37024.29,Pending,Prepaid,30
PO63135,SUP9332,2020-02-01,74656.52,Received,Prepaid,15
PO31490,SUP4001,2003-01-19,99102.43,Pending,Net 60,11
PO17355,SUP9332,2019-08-14,58597.22,Cancelled,Prepaid,10
PO59486,SUP2789,2025-10-12,83400.37,Received,Net 60,20
PO14464,SUP9506,2019-08-27,72364.04,Pending,Net 60,27
PO27120,SUP7737,2009-06-17,23201.35,Received,Net 60,25
PO46921,SUP5370,2011-04-05,83463.18,Cancelled,Net 30,25
PO88429,SUP6508,2011-04-17,41617.67,Pending,Prepaid,20
PO24874,SUP8463,2017-06-02,35169.22,Pending,Prepaid,17
PO92617,SUP7287,2001-03-07,25030.82,Pending,Net 30,22
PO16893,SUP2144,2005-04-03,44720.95,Cancelled,Prepaid,22
PO84497,SUP5370,2002-08-08,46552.55,Pending,Prepaid,6
PO27033,SUP6593,2002-03-17,29263.25,Pending,Prepaid,15
PO78314,SUP6523,2024-02-16,96585.72,Received,Prepaid,23
PO76314,SUP4515,2020-12-25,91694.81,Cancelled,Net 60,18
PO38764,SUP3110,2013-10-02,51481.84,Pending,Prepaid,12
PO40480,SUP4001,2003-04-20,48598.82,Received,Net 60,12
PO59119,SUP8463,2019-09-17,20340.77,Received,Net 60,14
PO53883,SUP7786,2019-09-17,99055.17,Cancelled,Net 60,9
PO66148,SUP6508,2000-12-20,9276.0,Received,Net 30,7
PO82146,SUP6660,2008-06-11,71555.53,Received,Prepaid,6
PO40630,SUP6660,2025-02-10,91243.43,Pending,Prepaid,8
PO12404,SUP7109,2021-09-16,44876.65,Pending,Net 60,7
PO62009,SUP5370,2023-11-15,34789.41,Received,Net 30,10
PO96064,SUP1888,2013-06-11,44763.88,Received,Net 30,24
PO77742,SUP7201,2009-05-09,19052.4,Received,Net 30,6
PO90227,SUP9332,2018-12-13,40488.83,Received,Prepaid,14
PO18029,SUP1888,2020-02-25,25247.33,Received,Net 60,8
PO52283,SUP7965,2021-04-19,49903.7,Cancelled,Net 30,5
PO95115,SUP3704,2002-11-07,17033.2,Cancelled,Net 30,18
PO29074,SUP3112,2023-02-04,30690.49,Cancelled,Net 30,17
PO74727,SUP7737,2019-05-07,13631.34,Pending,Net 30,6
PO35447,SUP3704,2002-12-05,91415.95,Pending,Prepaid,27
PO42810,SUP8497,2023-08-21,2629.41,Received,Net 30,20
PO49216,SUP4281,2005-12-18,84569.36,Pending,Net 60,9
PO90076,SUP7304,2014-10-07,34848.54,Pending,Net 60,26
PO92027,SUP9768,2019-05-22,84658.19,Cancelled,Prepaid,24
PO32710,SUP4281,2018-07-22,49319.0,Pending,Net 30,26
PO26914,SUP1445,2014-03-08,96567.23,Received,Net 30,10
PO48236,SUP7737,2013-01-19,77711.25,Received,Net 30,8
PO80254,SUP2842,2005-11-10,4535.12,Pending,Prepaid,21
PO42276,SUP4887,2016-09-18,87328.07,Pending,Prepaid,29
PO52049,SUP5822,2011-02-08,38513.87,Received,Prepaid,24
PO28385,SUP7646,2020-01-20,83667.43,Received,Net 30,23
PO68847,SUP2144,2004-03-18,10338.46,Cancelled,Net 30,14
PO15111,SUP7450,2024-02-14,56937.27,Cancelled,Net 30,15
PO59158,SUP4281,2019-10-13,66235.3,Cancelled,Net 60,16
PO11231,SUP6660,2010-04-26,6689.04,Cancelled,Net 30,8
PO23956,SUP6660,2013-12-23,62347.76,Pending,Net 30,21
PO37320,SUP5193,2008-03-07,24710.78,Pending,Prepaid,12
PO62464,SUP2275,2020-04-04,55007.62,Received,Net 30,6
PO30435,SUP6508,2005-03-05,85675.14,Cancelled,Net 30,15
PO36341,SUP6660,2014-03-13,46508.93,Received,Net 30,23
PO54360,SUP7304,2024-05-12,93100.85,Pending,Net 30,17
PO58457,SUP8191,2008-01-10,50422.62,Pending,Net 60,24
PO46804,SUP6508,2013-07-17,13405.88,Cancelled,Prepaid,6
PO11138,SUP4001,2016-04-22,77588.81,Cancelled,Net 60,29
PO64687,SUP1888,2013-07-24,28676.45,Pending,Prepaid,14
PO49192,SUP6660,2007-09-12,36543.39,Pending,Prepaid,9
PO43498,SUP7109,2002-02-17,38027.36,Cancelled,Net 60,5
PO33145,SUP5961,2006-05-08,72846.27,Received,Net 30,5
PO48712,SUP7201,2007-10-22,85431.46,Pending,Net 30,19
PO67123,SUP8191,2009-09-07,7169.15,Received,Net 60,5
PO50315,SUP3492,2020-01-11,30195.74,Received,Prepaid,16
PO28517,SUP4515,2013-11-12,33632.32,Received,Prepaid,8
PO84568,SUP2317,2022-06-15,10711.36,Pending,Prepaid,30
PO82702,SUP1445,2009-08-04,40441.43,Received,Net 60,10
PO63446,SUP4515,2012-04-11,69084.69,Cancelled,Prepaid,12
PO64452,SUP2317,2016-11-27,18559.89,Received,Prepaid,19
PO14759,SUP4515,2008-03-15,18468.92,Cancelled,Prepaid,8
PO58041,SUP4738,2005-03-07,23832.72,Pending,Prepaid,19
PO47752,SUP4515,2012-03-16,61496.1,Pending,Net 60,10
PO47288,SUP6898,2008-04-09,91015.95,Received,Prepaid,17
PO59972,SUP8191,2005-02-19,36274.16,Cancelled,Net 30,24
PO63650,SUP5822,2007-12-26,22606.93,Cancelled,Net 30,20
PO72244,SUP7786,2003-09-25,20679.41,Received,Net 60,5
PO46339,SUP2275,2019-04-22,7288.97,Pending,Prepaid,29
PO56933,SUP7965,2021-02-10,38306.99,Received,Prepaid,30
PO39302,SUP7646,2016-06-09,53824.04,Cancelled,Net 60,19
PO51469,SUP2842,2012-05-04,77624.13,Pending,Net 30,14
PO93821,SUP4738,2019-07-05,3255.27,Received,Net 30,7
PO33121,SUP7737,2024-01-27,55080.43,Received,Net 30,12
PO97670,SUP1888,2011-01-17,25413.1,Cancelled,Net 30,28
PO34607,SUP6898,2017-02-03,67728.13,Cancelled,Prepaid,26
PO83639,SUP1888,2023-07-17,71982.96,Cancelled,Net 60,10
PO53599,SUP5061,2017-02-14,78671.55,Received,Net 60,8
PO88877,SUP3112,2005-12-26,69290.06,Received,Net 60,10
PO60786,SUP6660,2007-06-09,65434.82,Received,Net 60,7
PO27106,SUP2144,2004-07-27,51321.84,Pending,Net 30,24
PO17244,SUP7646,2003-04-28,72342.56,Cancelled,Prepaid,29
PO13822,SUP5804,2010-04-13,58585.82,Pending,Net 30,18
PO96443,SUP5370,2016-05-06,68656.99,Pending,Net 30,14
PO49679,SUP3650,2023-03-23,59378.89,Received,Net 60,10
PO78681,SUP7098,2011-07-22,53057.52,Cancelled,Net 60,20
PO82204,SUP8191,2013-08-26,78959.11,Cancelled,Net 30,7
PO94209,SUP6660,2012-10-26,72410.03,Pending,Prepaid,19
PO25511,SUP3112,2022-10-06,44492.17,Pending,Prepaid,26
PO27020,SUP5193,2024-08-10,91343.65,Pending,Prepaid,7
PO43449,SUP8463,2017-01-25,74168.63,Cancelled,Net 30,12
PO76428,SUP3650,2015-05-26,43622.28,Cancelled,Prepaid,9
PO97672,SUP7965,2021-11-03,23043.26,Cancelled,Net 30,5
PO28816,SUP7287,2019-02-01,54893.41,Received,Net 60,14
PO93665,SUP7646,2016-11-04,11531.1,Received,Net 60,22
PO27475,SUP3650,2003-03-10,33870.97,Received,Net 30,28
PO47598,SUP7450,2009-07-09,32061.68,Received,Net 30,29
PO97182,SUP7304,2013-06-11,60319.57,Cancelled,Net 30,16
PO61878,SUP4001,2024-09-27,26446.05,Received,Prepaid,8
PO16321,SUP2275,2021-10-04,5413.74,Received,Net 30,19
PO22052,SUP8689,2007-01-22,10094.89,Pending,Net 30,5
PO78242,SUP7109,2017-12-14,50236.09,Cancelled,Net 30,15
PO67710,SUP5961,2020-12-15,22027.17,Received,Net 60,22
PO64727,SUP3704,2006-04-26,16131.26,Cancelled,Net 60,13
PO61319,SUP5193,2017-09-14,25645.93,Cancelled,Net 60,11
PO64154,SUP1445,2001-08-24,22883.43,Cancelled,Net 30,17
PO92167,SUP8191,2000-07-19,14298.99,Cancelled,Prepaid,11
PO86132,SUP5804,2005-07-27,35787.23,Received,Net 30,21
PO48426,SUP3492,2010-08-20,47645.32,Cancelled,Net 30,21
PO68223,SUP5370,2010-02-24,83564.0,Cancelled,Net 30,14
PO75494,SUP8497,2011-10-28,71856.28,Pending,Net 30,23
PO13801,SUP6593,2012-05-06,84144.31,Pending,Net 30,24
PO27301,SUP3112,2023-06-05,42271.4,Received,Net 30,28
PO43567,SUP7786,2009-02-08,35530.82,Received,Prepaid,21
PO40226,SUP7965,2001-08-10,31663.6,Pending,Net 60,27
PO62547,SUP8721,2004-01-26,20200.38,Pending,Prepaid,18
PO38844,SUP7450,2010-01-04,85360.51,Received,Net 30,14
PO35119,SUP2122,2019-06-15,68957.92,Cancelled,Net 60,20
PO26571,SUP1888,2007-05-01,78238.03,Pending,Prepaid,11
PO19806,SUP8497,2012-04-03,36531.5,Cancelled,Net 60,15
PO79445,SUP5804,2004-06-24,34253.86,Cancelled,Prepaid,14
PO68152,SUP2144,2008-04-04,29492.68,Received,Net 30,13
PO12981,SUP7304,2014-06-04,17375.52,Received,Net 60,20
PO19638,SUP8689,2002-11-15,75311.48,Pending,Prepaid,24
PO46819,SUP5804,2000-06-23,62976.41,Cancelled,Net 60,16
PO79634,SUP7646,2004-12-06,84054.85,Cancelled,Prepaid,12
PO65993,SUP2144,2003-01-06,92323.43,Cancelled,Net 30,6
PO92676,SUP3492,2011-07-17,30906.11,Received,Net 60,11
PO85862,SUP4281,2006-07-13,59978.45,Pending,Net 30,20
PO57992,SUP6508,2016-08-13,88134.34,Received,Prepaid,14
PO93046,SUP8497,2019-02-25,18550.29,Cancelled,Prepaid,7
PO74501,SUP2842,2001-10-17,17351.38,Cancelled,Prepaid,17
PO59169,SUP7201,2020-08-04,57361.71,Received,Net 60,18
PO70459,SUP4281,2001-02-18,8363.1,Received,Net 60,28
PO80703,SUP9747,2019-07-04,59346.26,Pending,Prepaid,17
PO91737,SUP4001,2005-10-09,37976.31,Cancelled,Net 60,6
PO75614,SUP2275,2014-10-10,49443.79,Pending,Net 60,20
PO52892,SUP9768,2005-10-19,38929.02,Pending,Net 30,29
PO60869,SUP5822,2014-07-13,10535.62,Received,Net 60,26
PO55976,SUP2842,2014-11-25,25443.25,Pending,Prepaid,30
PO29085,SUP9747,2008-09-24,20119.04,Cancelled,Prepaid,26
PO17513,SUP6660,2024-08-27,88474.59,Pending,Prepaid,28
PO90997,SUP8721,2021-06-23,38850.61,Cancelled,Prepaid,29
PO84477,SUP6593,2012-10-19,28389.01,Received,Net 30,12
PO59349,SUP1888,2016-06-03,5794.62,Received,Net 30,19
PO83535,SUP2144,2008-09-01,60626.67,Pending,Prepaid,21
PO39449,SUP7201,2011-05-17,28414.66,Cancelled,Net 30,13
PO21104,SUP5961,2018-09-05,22333.86,Pending,Net 30,18
PO94385,SUP4515,2022-12-18,72715.59,Cancelled,Prepaid,5
PO72831,SUP4297,2022-02-23,50217.49,Pending,Net 30,18
PO36219,SUP4001,2003-08-23,11131.9,Received,Prepaid,14
PO80438,SUP6898,2011-07-01,96271.22,Cancelled,Net 30,12
PO57920,SUP7646,2016-02-20,6214.0,Cancelled,Net 60,8
PO90395,SUP5061,2021-09-16,77419.68,Cancelled,Net 30,18
PO53972,SUP6523,2010-06-03,67001.95,Received,Net 30,6
PO10657,SUP6593,2000-12-02,12468.08,Pending,Net 60,29
PO89474,SUP9747,2017-06-24,63578.75,Pending,Prepaid,8
PO30457,SUP3650,2012-05-10,14813.1,Received,Net 30,26
PO52294,SUP5370,2009-12-03,15729.23,Cancelled,Net 60,15
PO25677,SUP2842,2009-05-26,59652.12,Pending,Net 30,26
PO41441,SUP3704,2002-04-10,80200.24,Received,Net 60,22
PO74342,SUP7304,2009-01-12,36604.39,Cancelled,Net 60,7
PO80932,SUP8721,2007-04-23,37868.42,Pending,Net 30,29
PO48571,SUP7287,2002-08-06,93366.74,Pending,Net 60,13
PO80433,SUP7849,2008-06-24,60443.77,Received,Net 60,28
PO38264,SUP4001,2005-02-17,7800.42,Pending,Net 60,22
PO11192,SUP6660,2008-12-11,72102.4,Pending,Net 30,18
PO59733,SUP7201,2005-11-17,32771.66,Cancelled,Prepaid,8
PO84655,SUP7287,2015-05-12,48333.99,Cancelled,Net 60,26
PO80955,SUP6523,2015-04-06,44534.88,Received,Net 60,8
PO40168,SUP6593,2001-11-23,74845.2,Pending,Prepaid,17
PO56731,SUP7109,2009-10-18,96001.26,Pending,Net 30,10
PO64728,SUP5061,2024-11-03,30237.28,Pending,Net 60,16
PO96178,SUP7646,2006-08-11,68810.59,Cancelled,Net 30,14
PO74118,SUP7849,2011-07-04,20771.48,Pending,Net 30,6
PO27912,SUP5804,2008-04-21,29316.23,Received,Net 60,18
PO31941,SUP5370,2023-06-12,15819.29,Received,Net 30,14
PO62812,SUP3704,2010-02-12,1022.68,Cancelled,Net 30,15
PO98638,SUP9332,2002-12-15,51432.33,Pending,Net 60,12
PO84870,SUP7201,2003-09-03,65179.15,Cancelled,Net 60,9
PO30697,SUP7646,2010-07-19,13204.99,Received,Net 30,20
PO71516,SUP7786,2011-07-13,70206.64,Received,Net 30,7
PO92354,SUP7201,2023-12-16,70539.61,Cancelled,Prepaid,27
PO29857,SUP6660,2007-04-11,75944.3,Received,Prepaid,6
PO55678,SUP5961,2022-03-23,3608.16,Cancelled,Net 30,24
PO10539,SUP5193,2003-09-19,81650.72,Received,Net 60,10
PO59239,SUP7098,2021-08-27,95638.7,Cancelled,Net 60,5
PO53549,SUP9332,2012-06-02,74938.61,Received,Net 60,23
PO31353,SUP2122,2013-10-14,10616.42,Received,Net 60,8
PO64280,SUP3650,2002-03-16,95375.13,Received,Prepaid,5
PO83557,SUP8463,2007-03-13,58941.62,Pending,Net 60,9
PO63971,SUP9747,2020-09-22,13081.44,Pending,Prepaid,22
PO75042,SUP6508,2025-07-01,18077.81,Cancelled,Net 60,28
PO34245,SUP3492,2017-04-23,20296.35,Cancelled,Net 30,29
PO96448,SUP7098,2011-03-23,32586.37,Received,Net 30,19
PO87192,SUP9768,2002-07-03,19265.46,Received,Prepaid,28
PO53592,SUP7304,2016-09-01,13171.34,Pending,Net 30,17
PO64742,SUP7098,2019-06-18,88941.34,Received,Net 60,5
PO28672,SUP7786,2019-12-06,63953.73,Cancelled,Prepaid,9
PO54399,SUP9506,2009-09-07,1374.75,Cancelled,Prepaid,9
PO20617,SUP4887,2009-08-15,81576.06,Received,Prepaid,26
PO14653,SUP7287,2011-10-26,38300.08,Cancelled,Net 60,18
PO18491,SUP4281,2007-02-22,95142.01,Cancelled,Prepaid,13
PO32543,SUP4738,2020-04-20,87686.63,Pending,Net 60,14
PO78272,SUP8497,2009-09-21,80144.8,Received,Net 30,18
PO34239,SUP6508,2021-09-18,98329.66,Cancelled,Net 60,23
PO75310,SUP7786,2000-05-24,81533.37,Received,Net 60,9
PO91570,SUP2317,2007-11-07,19948.66,Cancelled,Prepaid,20
PO67577,SUP5193,2011-04-06,15454.69,Pending,Prepaid,6
PO32390,SUP3650,2011-08-21,51919.86,Cancelled,Net 60,10
PO56463,SUP4281,2023-05-01,37398.12,Cancelled,Net 30,11
PO42980,SUP2144,2017-01-05,55925.97,Received,Net 30,11
PO43007,SUP8497,2004-06-13,78279.75,Received,Net 30,17
PO76138,SUP9768,2010-03-28,6641.28,Received,Net 60,17
PO31966,SUP2789,2004-06-25,33354.2,Cancelled,Net 60,19
PO79472,SUP9506,2020-08-28,51154.71,Cancelled,Prepaid,15
PO61953,SUP3492,2000-12-11,73582.44,Pending,Net 60,18
PO46421,SUP7098,2003-05-03,46626.66,Pending,Prepaid,12
PO89382,SUP8497,2013-05-13,31715.12,Received,Net 60,6
PO73999,SUP6898,2005-11-24,97611.85,Cancelled,Net 30,18
PO70455,SUP6508,2016-01-20,67708.14,Pending,Net 30,18
PO73482,SUP5370,2009-03-15,6502.18,Pending,Prepaid,5
PO85757,SUP2122,2024-08-05,88927.6,Cancelled,Net 60,17
PO55046,SUP6508,2016-07-28,88354.89,Pending,Net 60,9
PO31023,SUP5370,2022-10-02,18813.72,Cancelled,Net 30,30
PO58256,SUP5961,2000-04-06,60515.21,Received,Prepaid,17
PO32221,SUP7304,2018-10-21,95248.16,Pending,Net 60,30
PO17592,SUP2122,2014-07-28,37227.38,Pending,Prepaid,28
PO28599,SUP5193,2011-09-06,31825.2,Cancelled,Net 60,24
PO41228,SUP1445,2022-09-19,16190.38,Pending,Net 30,8
PO62728,SUP5822,2022-07-28,31687.07,Cancelled,Net 60,21
PO11446,SUP7304,2005-04-12,92195.01,Pending,Net 60,6
PO90367,SUP7098,2022-02-27,39397.11,Received,Net 30,22
PO94935,SUP4281,2004-10-21,63140.52,Cancelled,Net 30,19
PO90628,SUP5961,2016-03-27,93192.44,Received,Net 60,17
PO99648,SUP2842,2015-07-08,28181.5,Cancelled,Net 30,14
PO68880,SUP1445,2013-12-13,66328.42,Received,Net 60,9
PO24047,SUP5370,2015-06-07,81546.11,Pending,Net 60,6
PO56071,SUP8689,2010-01-14,55606.54,Received,Prepaid,24
PO21521,SUP7304,2007-12-22,49140.21,Cancelled,Prepaid,10
PO38702,SUP2122,2011-04-01,40360.56,Pending,Net 60,13
PO62650,SUP6660,2011-12-19,72328.88,Received,Net 30,29
PO38474,SUP5961,2008-02-18,56008.0,Pending,Net 60,26
PO11110,SUP7304,2000-05-23,59389.37,Received,Net 30,25
PO91176,SUP5061,2012-07-16,71793.96,Cancelled,Net 60,12
PO87029,SUP6508,2007-04-10,28437.41,Cancelled,Net 30,26
PO21269,SUP2144,2013-05-12,64559.42,Cancelled,Net 60,9
PO90894,SUP7098,2013-12-04,88328.4,Cancelled,Net 60,28
PO24305,SUP4001,2011-01-11,3755.18,Pending,Net 60,13
PO17438,SUP8689,2010-08-21,26617.19,Cancelled,Prepaid,13
PO36847,SUP6660,2011-08-19,15188.57,Pending,Prepaid,14
PO64290,SUP7304,2021-04-23,59124.63,Pending,Prepaid,22
PO76506,SUP7965,2004-12-16,46836.32,Received,Net 30,14
PO22198,SUP7965,2013-02-23,43846.8,Cancelled,Net 30,28
PO30863,SUP7304,2012-02-16,80649.49,Pending,Prepaid,9
PO38461,SUP6508,2014-05-12,26618.47,Cancelled,Prepaid,13
PO24194,SUP5370,2008-10-15,50745.72,Pending,Net 60,29
PO23602,SUP2275,2017-07-01,49528.13,Cancelled,Net 30,26
PO17412,SUP8689,2013-05-28,56277.37,Pending,Net 30,19
PO77175,SUP3650,2009-03-01,46472.06,Cancelled,Net 30,21
PO20398,SUP4297,2003-01-08,17875.79,Received,Prepaid,30
PO44375,SUP8497,2008-04-22,82402.36,Cancelled,Net 30,12
PO29600,SUP6898,2001-05-01,69249.64,Pending,Prepaid,14
PO79138,SUP8721,2023-06-03,24189.55,Pending,Net 60,5
PO60652,SUP8463,2018-01-25,91337.45,Pending,Net 60,29
PO47642,SUP7109,2001-09-22,58986.02,Pending,Prepaid,14
PO49422,SUP4001,2010-08-20,90339.61,Cancelled,Net 30,21
PO17618,SUP6898,2023-02-11,85664.8,Received,Net 30,28
PO41361,SUP6508,2003-08-27,93214.86,Received,Net 30,19
PO59343,SUP9747,2003-11-25,27404.95,Pending,Net 30,12
PO17178,SUP5822,2017-02-08,74505.03,Received,Net 60,25
PO35678,SUP2275,2012-07-15,9008.02,Received,Prepaid,12
PO40057,SUP3492,2010-09-09,66928.06,Pending,Prepaid,30
PO37673,SUP2144,2014-12-16,4555.39,Received,Net 60,29
