Customer ID,Name,Contact Person,Phone,Email,Address,Industry Type,Purchase History
CUST5400,Customer 110,Contact 110,+1-555-020110,customer110@example.com,Address 110,Pharma,History 6
CUST7699,Customer 111,Contact 111,+1-555-021111,customer111@example.com,Address 111,Pharma,History 10
CUST2403,Customer 112,Contact 112,+1-555-022112,customer112@example.com,Address 112,Food,History 6
CUST3902,Customer 113,Contact 113,+1-555-023113,customer113@example.com,Address 113,Supplement,History 10
CUST9585,Customer 114,Contact 114,+1-555-024114,customer114@example.com,Address 114,Food,History 10
CUST5066,Customer 115,Contact 115,+1-555-025115,customer115@example.com,Address 115,Supplement,History 8
CUST3380,Customer 116,Contact 116,+1-555-026116,customer116@example.com,Address 116,Supplement,History 8
CUST9147,Customer 117,Contact 117,+1-555-027117,customer117@example.com,Address 117,Supplement,History 5
CUST5062,Customer 118,Contact 118,+1-555-028118,customer118@example.com,Address 118,Pharma,History 4
CUST5468,Customer 119,Contact 119,+1-555-029119,customer119@example.com,Address 119,Food,History 10
CUST5524,Customer 120,Contact 120,+1-555-020120,customer120@example.com,Address 120,Food,History 1
CUST3534,Customer 121,Contact 121,+1-555-021121,customer121@example.com,Address 121,Pharma,History 5
CUST3383,Customer 122,Contact 122,+1-555-022122,customer122@example.com,Address 122,Food,History 9
CUST5731,Customer 123,Contact 123,+1-555-023123,customer123@example.com,Address 123,Pharma,History 3
CUST2146,Customer 124,Contact 124,+1-555-024124,customer124@example.com,Address 124,Pharma,History 2
CUST4101,Customer 125,Contact 125,+1-555-025125,customer125@example.com,Address 125,Pharma,History 9
CUST6902,Customer 126,Contact 126,+1-555-026126,customer126@example.com,Address 126,Pharma,History 4
CUST3281,Customer 127,Contact 127,+1-555-027127,customer127@example.com,Address 127,Supplement,History 9
CUST8834,Customer 128,Contact 128,+1-555-028128,customer128@example.com,Address 128,Pharma,History 3
CUST1099,Customer 129,Contact 129,+1-555-029129,customer129@example.com,Address 129,Supplement,History 9
CUST7879,Customer 130,Contact 130,+1-555-020130,customer130@example.com,Address 130,Supplement,History 7
CUST7299,Customer 131,Contact 131,+1-555-021131,customer131@example.com,Address 131,Supplement,History 3
CUST8259,Customer 132,Contact 132,+1-555-022132,customer132@example.com,Address 132,Food,History 8
CUST1961,Customer 133,Contact 133,+1-555-023133,customer133@example.com,Address 133,Supplement,History 4
CUST3893,Customer 134,Contact 134,+1-555-024134,customer134@example.com,Address 134,Pharma,History 8
CUST7590,Customer 135,Contact 135,+1-555-025135,customer135@example.com,Address 135,Pharma,History 7
CUST1939,Customer 136,Contact 136,+1-555-026136,customer136@example.com,Address 136,Food,History 8
CUST2679,Customer 137,Contact 137,+1-555-027137,customer137@example.com,Address 137,Food,History 8
CUST6614,Customer 138,Contact 138,+1-555-028138,customer138@example.com,Address 138,Supplement,History 6
CUST7948,Customer 139,Contact 139,+1-555-029139,customer139@example.com,Address 139,Supplement,History 5
CUST8728,Customer 140,Contact 140,+1-555-020140,customer140@example.com,Address 140,Supplement,History 3
CUST2256,Customer 141,Contact 141,+1-555-021141,customer141@example.com,Address 141,Food,History 3
CUST4340,Customer 142,Contact 142,+1-555-022142,customer142@example.com,Address 142,Pharma,History 9
CUST6968,Customer 143,Contact 143,+1-555-023143,customer143@example.com,Address 143,Supplement,History 4
CUST8307,Customer 144,Contact 144,+1-555-024144,customer144@example.com,Address 144,Supplement,History 8
CUST5351,Customer 145,Contact 145,+1-555-025145,customer145@example.com,Address 145,Pharma,History 6
CUST9783,Customer 146,Contact 146,+1-555-026146,customer146@example.com,Address 146,Pharma,History 2
CUST9511,Customer 147,Contact 147,+1-555-027147,customer147@example.com,Address 147,Food,History 9
CUST7884,Customer 148,Contact 148,+1-555-028148,customer148@example.com,Address 148,Pharma,History 4
CUST1149,Customer 149,Contact 149,+1-555-029149,customer149@example.com,Address 149,Supplement,History 3
CUST6493,Customer 150,Contact 150,+1-555-020150,customer150@example.com,Address 150,Food,History 5
CUST2768,Customer 151,Contact 151,+1-555-021151,customer151@example.com,Address 151,Food,History 7
CUST7812,Customer 152,Contact 152,+1-555-022152,customer152@example.com,Address 152,Supplement,History 7
CUST3759,Customer 153,Contact 153,+1-555-023153,customer153@example.com,Address 153,Supplement,History 8
CUST3819,Customer 154,Contact 154,+1-555-024154,customer154@example.com,Address 154,Pharma,History 7
CUST4714,Customer 155,Contact 155,+1-555-025155,customer155@example.com,Address 155,Supplement,History 7
CUST2828,Customer 156,Contact 156,+1-555-026156,customer156@example.com,Address 156,Food,History 8
CUST3339,Customer 157,Contact 157,+1-555-027157,customer157@example.com,Address 157,Pharma,History 5
CUST8500,Customer 158,Contact 158,+1-555-028158,customer158@example.com,Address 158,Supplement,History 6
CUST1602,Customer 159,Contact 159,+1-555-029159,customer159@example.com,Address 159,Pharma,History 2
CUST6003,Customer 160,Contact 160,+1-555-020160,customer160@example.com,Address 160,Food,History 7
CUST9330,Customer 161,Contact 161,+1-555-021161,customer161@example.com,Address 161,Supplement,History 4
CUST7841,Customer 162,Contact 162,+1-555-022162,customer162@example.com,Address 162,Supplement,History 6
CUST2261,Customer 163,Contact 163,+1-555-023163,customer163@example.com,Address 163,Supplement,History 10
CUST4673,Customer 164,Contact 164,+1-555-024164,customer164@example.com,Address 164,Pharma,History 2
CUST7855,Customer 165,Contact 165,+1-555-025165,customer165@example.com,Address 165,Pharma,History 2
CUST7245,Customer 166,Contact 166,+1-555-026166,customer166@example.com,Address 166,Pharma,History 10
CUST4074,Customer 167,Contact 167,+1-555-027167,customer167@example.com,Address 167,Pharma,History 3
CUST8127,Customer 168,Contact 168,+1-555-028168,customer168@example.com,Address 168,Food,History 7
CUST5428,Customer 169,Contact 169,+1-555-029169,customer169@example.com,Address 169,Food,History 10
CUST4055,Customer 170,Contact 170,+1-555-020170,customer170@example.com,Address 170,Pharma,History 7
CUST4448,Customer 171,Contact 171,+1-555-021171,customer171@example.com,Address 171,Food,History 8
CUST7943,Customer 172,Contact 172,+1-555-022172,customer172@example.com,Address 172,Pharma,History 9
CUST8946,Customer 173,Contact 173,+1-555-023173,customer173@example.com,Address 173,Pharma,History 7
CUST3958,Customer 174,Contact 174,+1-555-024174,customer174@example.com,Address 174,Pharma,History 4
CUST7316,Customer 175,Contact 175,+1-555-025175,customer175@example.com,Address 175,Food,History 9
CUST4802,Customer 176,Contact 176,+1-555-026176,customer176@example.com,Address 176,Food,History 3
CUST7212,Customer 177,Contact 177,+1-555-027177,customer177@example.com,Address 177,Food,History 3
CUST1285,Customer 178,Contact 178,+1-555-028178,customer178@example.com,Address 178,Food,History 1
CUST5492,Customer 179,Contact 179,+1-555-029179,customer179@example.com,Address 179,Food,History 6
CUST5239,Customer 180,Contact 180,+1-555-020180,customer180@example.com,Address 180,Pharma,History 5
CUST8485,Customer 181,Contact 181,+1-555-021181,customer181@example.com,Address 181,Supplement,History 2
CUST3544,Customer 182,Contact 182,+1-555-022182,customer182@example.com,Address 182,Food,History 2
CUST8746,Customer 183,Contact 183,+1-555-023183,customer183@example.com,Address 183,Food,History 9
CUST6198,Customer 184,Contact 184,+1-555-024184,customer184@example.com,Address 184,Food,History 2
CUST1410,Customer 185,Contact 185,+1-555-025185,customer185@example.com,Address 185,Pharma,History 1
CUST2599,Customer 186,Contact 186,+1-555-026186,customer186@example.com,Address 186,Supplement,History 9
CUST8370,Customer 187,Contact 187,+1-555-027187,customer187@example.com,Address 187,Pharma,History 10
CUST1428,Customer 188,Contact 188,+1-555-028188,customer188@example.com,Address 188,Food,History 7
CUST7640,Customer 189,Contact 189,+1-555-029189,customer189@example.com,Address 189,Pharma,History 1
CUST6841,Customer 190,Contact 190,+1-555-020190,customer190@example.com,Address 190,Pharma,History 9
CUST5375,Customer 191,Contact 191,+1-555-021191,customer191@example.com,Address 191,Pharma,History 5
CUST7118,Customer 192,Contact 192,+1-555-022192,customer192@example.com,Address 192,Pharma,History 5
CUST3868,Customer 193,Contact 193,+1-555-023193,customer193@example.com,Address 193,Supplement,History 4
CUST9499,Customer 194,Contact 194,+1-555-024194,customer194@example.com,Address 194,Pharma,History 9
CUST3317,Customer 195,Contact 195,+1-555-025195,customer195@example.com,Address 195,Food,History 7
CUST2751,Customer 196,Contact 196,+1-555-026196,customer196@example.com,Address 196,Pharma,History 2
CUST8202,Customer 197,Contact 197,+1-555-027197,customer197@example.com,Address 197,Food,History 1
CUST7733,Customer 198,Contact 198,+1-555-028198,customer198@example.com,Address 198,Supplement,History 1
CUST4819,Customer 199,Contact 199,+1-555-029199,customer199@example.com,Address 199,Pharma,History 1
CUST9224,Customer 200,Contact 200,+1-555-020200,customer200@example.com,Address 200,Pharma,History 5
CUST7767,Customer 201,Contact 201,+1-555-021201,customer201@example.com,Address 201,Supplement,History 3
CUST3203,Customer 202,Contact 202,+1-555-022202,customer202@example.com,Address 202,Supplement,History 10
CUST8413,Customer 203,Contact 203,+1-555-023203,customer203@example.com,Address 203,Food,History 9
CUST7574,Customer 204,Contact 204,+1-555-024204,customer204@example.com,Address 204,Pharma,History 6
CUST6471,Customer 205,Contact 205,+1-555-025205,customer205@example.com,Address 205,Pharma,History 3
CUST8433,Customer 206,Contact 206,+1-555-026206,customer206@example.com,Address 206,Food,History 10
CUST3569,Customer 207,Contact 207,+1-555-027207,customer207@example.com,Address 207,Pharma,History 5
CUST8644,Customer 208,Contact 208,+1-555-028208,customer208@example.com,Address 208,Pharma,History 6
CUST2722,Customer 209,Contact 209,+1-555-029209,customer209@example.com,Address 209,Supplement,History 4
CUST9146,Customer 210,Contact 210,+1-555-020210,customer210@example.com,Address 210,Food,History 2
CUST2917,Customer 211,Contact 211,+1-555-021211,customer211@example.com,Address 211,Supplement,History 7
CUST7397,Customer 212,Contact 212,+1-555-022212,customer212@example.com,Address 212,Supplement,History 8
CUST9297,Customer 213,Contact 213,+1-555-023213,customer213@example.com,Address 213,Pharma,History 6
CUST8711,Customer 214,Contact 214,+1-555-024214,customer214@example.com,Address 214,Supplement,History 8
CUST3103,Customer 215,Contact 215,+1-555-025215,customer215@example.com,Address 215,Food,History 1
CUST1845,Customer 216,Contact 216,+1-555-026216,customer216@example.com,Address 216,Supplement,History 1
CUST9705,Customer 217,Contact 217,+1-555-027217,customer217@example.com,Address 217,Pharma,History 10
CUST8630,Customer 218,Contact 218,+1-555-028218,customer218@example.com,Address 218,Food,History 6
CUST7798,Customer 219,Contact 219,+1-555-029219,customer219@example.com,Address 219,Food,History 5
CUST5686,Customer 220,Contact 220,+1-555-020220,customer220@example.com,Address 220,Supplement,History 5
CUST5851,Customer 221,Contact 221,+1-555-021221,customer221@example.com,Address 221,Pharma,History 10
CUST4421,Customer 222,Contact 222,+1-555-022222,customer222@example.com,Address 222,Pharma,History 10
CUST4277,Customer 223,Contact 223,+1-555-023223,customer223@example.com,Address 223,Food,History 4
CUST9294,Customer 224,Contact 224,+1-555-024224,customer224@example.com,Address 224,Supplement,History 6
CUST7029,Customer 225,Contact 225,+1-555-025225,customer225@example.com,Address 225,Pharma,History 6
CUST8896,Customer 226,Contact 226,+1-555-026226,customer226@example.com,Address 226,Pharma,History 7
CUST6945,Customer 227,Contact 227,+1-555-027227,customer227@example.com,Address 227,Supplement,History 10
CUST9016,Customer 228,Contact 228,+1-555-028228,customer228@example.com,Address 228,Supplement,History 8
CUST5711,Customer 229,Contact 229,+1-555-029229,customer229@example.com,Address 229,Food,History 9
CUST4380,Customer 230,Contact 230,+1-555-020230,customer230@example.com,Address 230,Pharma,History 10
CUST7359,Customer 231,Contact 231,+1-555-021231,customer231@example.com,Address 231,Supplement,History 1
CUST2915,Customer 232,Contact 232,+1-555-022232,customer232@example.com,Address 232,Supplement,History 8
CUST8557,Customer 233,Contact 233,+1-555-023233,customer233@example.com,Address 233,Pharma,History 1
CUST9499,Customer 234,Contact 234,+1-555-024234,customer234@example.com,Address 234,Pharma,History 6
CUST5147,Customer 235,Contact 235,+1-555-025235,customer235@example.com,Address 235,Pharma,History 1
CUST8947,Customer 236,Contact 236,+1-555-026236,customer236@example.com,Address 236,Pharma,History 10
CUST8428,Customer 237,Contact 237,+1-555-027237,customer237@example.com,Address 237,Pharma,History 10
CUST3995,Customer 238,Contact 238,+1-555-028238,customer238@example.com,Address 238,Pharma,History 1
CUST2501,Customer 239,Contact 239,+1-555-029239,customer239@example.com,Address 239,Food,History 10
CUST7532,Customer 240,Contact 240,+1-555-020240,customer240@example.com,Address 240,Food,History 8
CUST8429,Customer 241,Contact 241,+1-555-021241,customer241@example.com,Address 241,Pharma,History 4
CUST9069,Customer 242,Contact 242,+1-555-022242,customer242@example.com,Address 242,Pharma,History 3
CUST6005,Customer 243,Contact 243,+1-555-023243,customer243@example.com,Address 243,Supplement,History 6
CUST4615,Customer 244,Contact 244,+1-555-024244,customer244@example.com,Address 244,Supplement,History 8
CUST6566,Customer 245,Contact 245,+1-555-025245,customer245@example.com,Address 245,Supplement,History 2
CUST2766,Customer 246,Contact 246,+1-555-026246,customer246@example.com,Address 246,Food,History 8
CUST9226,Customer 247,Contact 247,+1-555-027247,customer247@example.com,Address 247,Pharma,History 6
CUST9423,Customer 248,Contact 248,+1-555-028248,customer248@example.com,Address 248,Supplement,History 6
CUST3028,Customer 249,Contact 249,+1-555-029249,customer249@example.com,Address 249,Food,History 7
CUST4007,Customer 250,Contact 250,+1-555-020250,customer250@example.com,Address 250,Food,History 5
CUST6152,Customer 251,Contact 251,+1-555-021251,customer251@example.com,Address 251,Food,History 10
CUST1759,Customer 252,Contact 252,+1-555-022252,customer252@example.com,Address 252,Pharma,History 5
CUST9579,Customer 253,Contact 253,+1-555-023253,customer253@example.com,Address 253,Supplement,History 3
CUST4206,Customer 254,Contact 254,+1-555-024254,customer254@example.com,Address 254,Food,History 3
CUST5403,Customer 255,Contact 255,+1-555-025255,customer255@example.com,Address 255,Supplement,History 7
CUST1107,Customer 256,Contact 256,+1-555-026256,customer256@example.com,Address 256,Food,History 1
CUST4733,Customer 257,Contact 257,+1-555-027257,customer257@example.com,Address 257,Supplement,History 10
CUST6273,Customer 258,Contact 258,+1-555-028258,customer258@example.com,Address 258,Supplement,History 7
CUST6339,Customer 259,Contact 259,+1-555-029259,customer259@example.com,Address 259,Pharma,History 2
CUST6299,Customer 260,Contact 260,+1-555-020260,customer260@example.com,Address 260,Pharma,History 10
CUST3592,Customer 261,Contact 261,+1-555-021261,customer261@example.com,Address 261,Supplement,History 10
CUST3166,Customer 262,Contact 262,+1-555-022262,customer262@example.com,Address 262,Pharma,History 7
CUST5907,Customer 263,Contact 263,+1-555-023263,customer263@example.com,Address 263,Pharma,History 7
CUST6549,Customer 264,Contact 264,+1-555-024264,customer264@example.com,Address 264,Pharma,History 2
CUST3381,Customer 265,Contact 265,+1-555-025265,customer265@example.com,Address 265,Pharma,History 7
CUST4398,Customer 266,Contact 266,+1-555-026266,customer266@example.com,Address 266,Food,History 2
CUST3078,Customer 267,Contact 267,+1-555-027267,customer267@example.com,Address 267,Pharma,History 9
CUST9604,Customer 268,Contact 268,+1-555-028268,customer268@example.com,Address 268,Food,History 5
CUST3620,Customer 269,Contact 269,+1-555-029269,customer269@example.com,Address 269,Food,History 1
CUST6258,Customer 270,Contact 270,+1-555-020270,customer270@example.com,Address 270,Pharma,History 8
CUST4497,Customer 271,Contact 271,+1-555-021271,customer271@example.com,Address 271,Supplement,History 4
CUST9307,Customer 272,Contact 272,+1-555-022272,customer272@example.com,Address 272,Supplement,History 5
CUST7762,Customer 273,Contact 273,+1-555-023273,customer273@example.com,Address 273,Supplement,History 3
CUST7817,Customer 274,Contact 274,+1-555-024274,customer274@example.com,Address 274,Supplement,History 2
CUST8356,Customer 275,Contact 275,+1-555-025275,customer275@example.com,Address 275,Supplement,History 8
CUST4889,Customer 276,Contact 276,+1-555-026276,customer276@example.com,Address 276,Supplement,History 4
CUST4158,Customer 277,Contact 277,+1-555-027277,customer277@example.com,Address 277,Food,History 5
CUST6344,Customer 278,Contact 278,+1-555-028278,customer278@example.com,Address 278,Pharma,History 10
CUST3748,Customer 279,Contact 279,+1-555-029279,customer279@example.com,Address 279,Food,History 1
CUST7456,Customer 280,Contact 280,+1-555-020280,customer280@example.com,Address 280,Food,History 2
CUST7216,Customer 281,Contact 281,+1-555-021281,customer281@example.com,Address 281,Supplement,History 3
CUST4174,Customer 282,Contact 282,+1-555-022282,customer282@example.com,Address 282,Supplement,History 1
CUST8329,Customer 283,Contact 283,+1-555-023283,customer283@example.com,Address 283,Pharma,History 6
CUST9534,Customer 284,Contact 284,+1-555-024284,customer284@example.com,Address 284,Pharma,History 7
CUST9412,Customer 285,Contact 285,+1-555-025285,customer285@example.com,Address 285,Food,History 7
CUST4969,Customer 286,Contact 286,+1-555-026286,customer286@example.com,Address 286,Food,History 10
CUST4215,Customer 287,Contact 287,+1-555-027287,customer287@example.com,Address 287,Pharma,History 8
CUST9605,Customer 288,Contact 288,+1-555-028288,customer288@example.com,Address 288,Pharma,History 4
CUST9323,Customer 289,Contact 289,+1-555-029289,customer289@example.com,Address 289,Pharma,History 7
CUST1978,Customer 290,Contact 290,+1-555-020290,customer290@example.com,Address 290,Food,History 7
CUST7797,Customer 291,Contact 291,+1-555-021291,customer291@example.com,Address 291,Food,History 9
CUST3328,Customer 292,Contact 292,+1-555-022292,customer292@example.com,Address 292,Food,History 9
CUST7939,Customer 293,Contact 293,+1-555-023293,customer293@example.com,Address 293,Food,History 1
